,N,M,Method,Error,Computation Time
0,1,1,Scipy,0.0,0.003957509994506836
1,1,2,Arnoldi,,
2,1,3,Lanzcos,,
3,1,4,Scipy,,
4,1,5,Arnoldi,,
5,1,6,Lanzcos,,
6,1,7,Scipy,,
7,1,8,Arnoldi,,
8,1,9,Lanzcos,,
9,1,10,Scipy,,
10,1,20,Arnoldi,,
11,1,30,Lanzcos,,
12,1,40,Scipy,,
13,1,50,Arnoldi,,
14,1,60,Lanzcos,,
15,1,70,Scipy,,
16,1,80,Arnoldi,,
17,1,90,Lanzcos,,
18,1,100,Scipy,,
19,1,1,Arnoldi,5.543005261090535,0.0012962102890014648
20,1,2,Lanzcos,,
21,1,3,Scipy,,
22,1,4,Arnoldi,,
23,1,5,Lanzcos,,
24,1,6,Scipy,,
25,1,7,Arnoldi,,
26,1,8,Lanzcos,,
27,1,9,Scipy,,
28,1,10,Arnoldi,,
29,1,20,Lanzcos,,
30,1,30,Scipy,,
31,1,40,Arnoldi,,
32,1,50,Lanzcos,,
33,1,60,Scipy,,
34,1,70,Arnoldi,,
35,1,80,Lanzcos,,
36,1,90,Scipy,,
37,1,100,Arnoldi,,
38,1,1,Lanzcos,0.0,0.00109710693359375
39,1,2,Scipy,,
40,1,3,Arnoldi,,
41,1,4,Lanzcos,,
42,1,5,Scipy,,
43,1,6,Arnoldi,,
44,1,7,Lanzcos,,
45,1,8,Scipy,,
46,1,9,Arnoldi,,
47,1,10,Lanzcos,,
48,1,20,Scipy,,
49,1,30,Arnoldi,,
50,1,40,Lanzcos,,
51,1,50,Scipy,,
52,1,60,Arnoldi,,
53,1,70,Lanzcos,,
54,1,80,Scipy,,
55,1,90,Arnoldi,,
56,1,100,Lanzcos,,
57,2,1,Scipy,0.0,0.001995086669921875
58,2,2,Arnoldi,0.06564617959594977,0.0012946367263793946
59,2,3,Lanzcos,,
60,2,4,Scipy,,
61,2,5,Arnoldi,,
62,2,6,Lanzcos,,
63,2,7,Scipy,,
64,2,8,Arnoldi,,
65,2,9,Lanzcos,,
66,2,10,Scipy,,
67,2,20,Arnoldi,,
68,2,30,Lanzcos,,
69,2,40,Scipy,,
70,2,50,Arnoldi,,
71,2,60,Lanzcos,,
72,2,70,Scipy,,
